ID,Kind,Positive Votes,Negative Votes,Important Votes,Liked Votes,Disliked Votes,LOL Votes,Toxic Votes,Saved,Comments,published_at,Domain
19377962,news,8,3,3,5,3,2,0,0,0,2024-04-03T17:07:33Z,cryptoglobe.com
19377186,news,17,3,11,14,3,3,0,1,41,2024-04-03T12:58:05Z,coinspeaker.com
19376664,news,5,1,3,3,1,2,0,2,0,2024-04-03T10:11:05Z,newsbtc.com
19376587,news,11,3,6,13,3,4,0,0,0,2024-04-03T09:45:33Z,bitcoinist.com
19375304,news,6,5,3,5,3,3,0,1,2,2024-04-02T20:00:08Z,ambcrypto.com
19373770,news,8,3,3,7,2,4,0,0,1,2024-04-02T10:41:13Z,coinedition.com
19368436,news,8,5,3,11,5,5,0,2,2,2024-03-30T16:07:15Z,finbold.com
19367014,news,16,7,3,12,7,8,0,0,2,2024-03-29T18:17:08Z,zycrypto.com
19366992,news,3,5,0,3,5,5,0,0,0,2024-03-29T18:00:00Z,u.today
19366774,news,13,6,5,8,6,7,0,0,0,2024-03-29T16:18:00Z,u.today
19363117,news,8,6,3,10,4,5,0,2,28,2024-03-28T12:30:53Z,finbold.com
19360824,news,5,4,1,3,4,3,0,0,0,2024-03-27T17:00:36Z,newsbtc.com
19352246,news,19,4,9,14,5,11,0,0,7,2024-03-24T20:09:56Z,zycrypto.com
19351216,news,6,0,3,6,0,1,0,2,2,2024-03-24T00:00:05Z,dailyhodl.com
19350776,news,10,6,5,9,7,6,0,0,2,2024-03-23T15:52:13Z,zycrypto.com
19349738,news,14,7,9,14,8,7,0,1,3,2024-03-22T23:00:00Z,cryptoglobe.com
19348541,news,7,5,4,6,4,4,0,0,0,2024-03-22T14:00:05Z,bitcoinist.com
19346717,news,9,4,3,5,5,4,0,0,3,2024-03-21T21:00:24Z,bitcoinist.com
19346020,news,9,3,3,7,3,7,0,0,5,2024-03-21T16:05:00Z,dailycoin.com
19344666,news,11,3,4,9,3,3,0,0,0,2024-03-21T09:03:08Z,finbold.com
