ID,Kind,Positive Votes,Negative Votes,Important Votes,Liked Votes,Disliked Votes,LOL Votes,Toxic Votes,Saved,Comments,published_at,Domain
19333406,news,4,4,1,3,1,1,0,0,0,2024-03-17T02:30:49Z,ambcrypto.com
19324840,news,3,6,2,2,3,2,0,0,0,2024-03-13T16:00:00Z,coinedition.com
19287324,news,10,1,7,7,1,1,0,1,0,2024-02-28T18:53:57Z,dailyhodl.com
19275363,news,0,9,1,2,3,5,0,1,1,2024-02-23T17:04:33Z,finbold.com
19227174,news,14,9,5,15,9,9,0,0,2,2024-02-04T13:00:06Z,newsbtc.com
19167724,news,9,6,5,9,5,4,0,0,7,2024-01-11T12:30:26Z,newsbtc.com
19165139,news,5,4,0,2,3,3,0,0,2,2024-01-10T16:00:38Z,newsbtc.com
19159264,news,8,1,4,5,1,2,0,0,1,2024-01-08T19:00:31Z,newsbtc.com
19136248,news,17,5,9,16,5,4,0,0,0,2023-12-28T02:47:00Z,cryptoglobe.com
19114970,media,6,1,1,4,1,2,0,0,0,2023-12-17T12:00:43Z,youtube.com
19044617,news,5,1,2,2,1,1,0,0,2,2023-11-17T09:33:29Z,coinpaprika.com
18996155,news,5,5,3,4,5,5,0,1,2,2023-10-26T12:57:00Z,coinedition.com
18924934,news,5,2,2,2,2,1,0,0,3,2023-09-24T16:40:13Z,beincrypto.com
18777172,news,3,2,2,3,3,3,0,0,1,2023-07-16T14:30:25Z,dailyhodl.com
18201297,news,8,0,3,7,0,1,0,3,2,2023-04-26T14:07:14Z,theblock.co
18198624,news,10,0,7,8,0,1,0,5,1,2023-04-26T08:54:39Z,theblock.co
17576917,news,12,0,7,8,0,0,0,2,1,2023-02-07T14:38:38Z,theblockcrypto.com
17217458,news,14,0,7,12,0,1,0,6,5,2022-12-22T18:00:57Z,theblockcrypto.com
17068484,news,6,1,3,3,1,1,0,0,0,2022-12-04T17:55:09Z,zycrypto.com
17062623,news,12,2,7,14,1,0,0,3,3,2022-12-03T10:50:00Z,cointelegraph.com
