ID,Kind,Positive Votes,Negative Votes,Important Votes,Liked Votes,Disliked Votes,LOL Votes,Toxic Votes,Saved,Comments,published_at,Domain
19378409,news,5,5,3,2,6,2,0,0,1,2024-04-03T20:06:47Z,cryptointelligence.co.uk
19376664,news,5,1,3,3,1,2,0,2,0,2024-04-03T10:11:05Z,newsbtc.com
19364124,news,3,3,1,2,2,3,0,1,0,2024-03-28T17:10:37Z,zycrypto.com
19354984,news,8,1,5,4,1,1,0,1,2,2024-03-25T20:59:28Z,zycrypto.com
19344759,news,5,0,4,3,0,0,0,2,0,2024-03-21T09:30:00Z,coingabbar.com
19343592,news,1,10,0,1,7,7,0,1,0,2024-03-20T20:00:38Z,newsbtc.com
19339350,news,12,1,6,8,0,1,0,1,0,2024-03-19T13:53:00Z,qz.com
19331809,news,2,5,3,1,3,1,0,1,1,2024-03-15T21:57:49Z,cryptointelligence.co.uk
19330810,news,9,0,3,4,2,1,0,1,6,2024-03-15T14:30:56Z,newsbtc.com
19329145,news,8,3,6,6,0,1,0,1,0,2024-03-15T01:04:14Z,cryptointelligence.co.uk
19328843,news,6,1,5,4,0,0,0,1,0,2024-03-14T21:00:37Z,feeds2.benzinga.com
19327954,news,24,10,7,18,7,7,0,0,0,2024-03-14T16:00:56Z,newsbtc.com
19326965,news,6,4,2,5,1,1,0,0,0,2024-03-14T11:00:17Z,feeds2.benzinga.com
19319387,news,7,2,5,5,2,3,0,1,2,2024-03-11T22:55:24Z,cryptointelligence.co.uk
19319278,news,18,4,4,12,4,4,0,0,0,2024-03-11T22:00:27Z,newsbtc.com
19319270,news,4,2,2,4,2,2,0,0,0,2024-03-11T21:55:17Z,zycrypto.com
19318417,news,6,1,5,3,1,0,0,0,0,2024-03-11T16:00:24Z,newsbtc.com
19315014,news,9,2,4,5,1,0,0,2,0,2024-03-09T21:10:17Z,cryptointelligence.co.uk
19314920,news,6,1,3,4,1,1,0,1,0,2024-03-09T19:00:01Z,newsbtc.com
19310795,news,7,0,5,4,0,0,0,2,1,2024-03-08T01:00:13Z,bitcoinist.com
