Domain,hq_location
u.today,"United States, New York, New York"
newsbtc.com,"United Kingdom, London"
coinpaprika.com,"Poland, Poznan"
cryptoslate.com,"United States, Washington, Seattle"
ambcrypto.com,"India, Bengaluru"
dailyhodl.com,"United States, California, Los Angeles"
cointelegraph.com,"United States, New York, New York"
en.bitcoinsistemi.com,- -
bitcoinist.com,"Hungary, Budapest"
cryptobriefing.com,"United States, Missouri, Brandsville"
coindesk.com,"United States, New York, New York"
cryptoglobe.com,"United Kingdom, London"
coinjournal.net,"United Kingdom, London"
coinedition.com,United Arab Emirates
cryptointelligence.co.uk,"United Kingdom, London"
decrypt.co,"United States, New York, New York"
zycrypto.com,"United Kingdom, London"
cryptopolitan.com,"United Kingdom, London"
beincrypto.com,"United Kingdom, London"
cryptopotato.com,"Bulgaria, Sofia"
finbold.com,"United Kingdom, Charing"
dailycoin.com,"Switzerland, Zug"
theblock.co,"United States, New York, New York"
blockworks.co,United Kingdom
