ID_News,Crypto_Code,Kind,Positive_Votes,Negative_Votes,Important_Votes,Liked_Votes,Disliked_Votes,LOL_Votes,Toxic_Votes,Saved,Comments,published_at,Domain
19444562,SOL,news,6,3,4,4,2,3,0,2,0,2024-04-29 13:17:01,cryptoslate.com
19442593,SOL,news,3,4,1,3,4,3,0,2,1,2024-04-28 14:40:35,finbold.com
19438470,SOL,news,1,6,1,1,7,4,0,2,10,2024-04-26 09:25:40,coinspeaker.com
19438375,SOL,news,1,7,0,1,5,4,0,1,0,2024-04-26 08:50:00,bitcoinist.com
19434128,SOL,news,2,5,1,1,4,2,0,1,1,2024-04-24 23:03:08,cryptointelligence.co.uk
19433122,SOL,news,2,5,0,1,4,2,0,1,0,2024-04-24 15:57:52,cryptopolitan.com
19432504,SOL,news,2,4,0,1,4,1,0,1,0,2024-04-24 13:00:19,newsbtc.com
19431794,SOL,news,4,6,0,3,6,4,0,1,2,2024-04-24 09:09:46,coinspeaker.com
19431655,SOL,news,7,6,2,5,4,4,0,2,0,2024-04-24 08:05:11,beincrypto.com
19430909,SOL,news,4,4,3,3,3,2,0,1,0,2024-04-24 00:06:25,cryptonews.com
19429600,SOL,news,10,2,5,10,3,5,0,1,0,2024-04-23 14:41:30,zycrypto.com
19426610,SOL,news,1,5,0,0,4,3,0,0,0,2024-04-22 15:42:52,cryptonews.com
19425594,SOL,news,5,3,1,2,4,3,0,2,1,2024-04-22 10:47:00,u.today
19424022,SOL,news,5,2,1,2,2,2,0,1,0,2024-04-21 14:40:28,decrypt.co
19423318,SOL,news,3,7,0,1,11,6,0,1,2,2024-04-21 00:20:02,cryptointelligence.co.uk
19423028,SOL,news,5,5,2,4,4,4,0,1,0,2024-04-20 18:00:34,ambcrypto.com
19420872,SOL,news,3,3,1,1,2,1,0,0,0,2024-04-19 15:00:00,beincrypto.com
19420798,SOL,news,4,9,2,3,7,3,0,1,0,2024-04-19 15:49:00,u.today
19420693,SOL,news,3,3,1,1,2,1,0,0,0,2024-04-19 15:00:12,feeds2.benzinga.com
19420205,SOL,news,1,7,0,3,5,3,0,1,0,2024-04-19 13:00:00,coinedition.com
19419646,SOL,news,1,5,1,0,3,3,0,1,4,2024-04-19 10:00:00,coinedition.com
19417746,SOL,news,4,2,1,2,1,2,0,1,10,2024-04-18 16:00:41,ambcrypto.com
19413856,SOL,news,5,5,2,4,5,3,0,1,0,2024-04-17 12:26:56,cryptobriefing.com
