ID,ID_Cryptopanic,Kind,Positive_Votes,Negative_Votes,Important_Votes,Liked_Votes,Disliked_Votes,LOL_Votes,Toxic_Votes,Saved,Comments,published_at,Domain
19385914,USDT,news,5,6,4,2,5,5,0,0,0,2024-04-06 17:04:29,zycrypto.com
19382797,USDT,news,5,1,1,3,1,1,0,1,0,2024-04-05 09:38:48,coinjournal.net
19380284,USDT,news,3,3,1,2,4,3,0,0,2,2024-04-04 13:04:04,en.bitcoinsistemi.com
19368410,USDT,news,7,5,3,5,5,4,0,1,0,2024-03-30 16:00:31,newsbtc.com
19343624,USDT,news,1,5,0,2,0,4,0,1,2,2024-03-20 19:30:00,beincrypto.com
19343592,USDT,news,1,10,0,1,7,7,0,1,0,2024-03-20 20:00:38,newsbtc.com
19337058,USDT,news,6,5,3,6,2,4,0,1,3,2024-03-18 19:00:16,newsbtc.com
19334030,USDT,news,9,0,3,5,0,0,0,1,0,2024-03-17 14:11:07,zycrypto.com
19330810,USDT,news,9,0,3,4,2,1,0,1,6,2024-03-15 14:30:56,newsbtc.com
19324992,USDT,news,10,0,4,6,0,2,0,0,0,2024-03-13 17:00:03,newsbtc.com
19321294,USDT,news,6,0,4,4,0,0,0,2,1,2024-03-12 14:23:22,cryptointelligence.co.uk
19312990,USDT,news,14,3,10,6,2,3,0,1,1,2024-03-08 16:59:43,zycrypto.com
19312374,USDT,news,10,6,4,6,4,5,0,1,15,2024-03-08 14:00:57,bitcoinist.com
19311703,USDT,news,6,0,5,6,0,1,0,1,0,2024-03-08 10:02:36,coinpaprika.com
19309816,USDT,news,11,0,8,8,0,0,0,1,0,2024-03-07 16:00:44,newsbtc.com
19307440,USDT,news,6,0,3,2,0,0,0,1,2,2024-03-06 21:31:52,zycrypto.com
19303277,USDT,news,11,1,6,13,1,1,0,2,1,2024-03-05 15:06:06,bitcoinist.com
19303270,USDT,news,19,1,10,18,2,2,0,3,15,2024-03-05 15:05:15,cryptopotato.com
19302611,USDT,news,6,2,1,4,2,1,0,1,2,2024-03-05 11:58:21,cryptobriefing.com
19300850,USDT,news,10,0,4,7,0,0,0,1,0,2024-03-05 03:21:50,newsbtc.com
19299072,USDT,news,7,2,4,6,2,4,0,3,0,2024-03-04 13:24:28,zycrypto.com
19296104,USDT,news,4,3,2,2,3,4,0,0,2,2024-03-02 17:33:12,zycrypto.com
