ID,Kind,Positive Votes,Negative Votes,Important Votes,Liked Votes,Disliked Votes,LOL Votes,Toxic Votes,Saved,Comments,published_at,Domain
19381298,news,5,1,3,2,1,1,0,0,2,2024-04-04T18:24:39Z,zycrypto.com
19380284,news,3,3,1,2,4,3,0,0,2,2024-04-04T13:04:04Z,en.bitcoinsistemi.com
19378386,news,5,2,3,3,2,2,0,0,1,2024-04-03T20:00:09Z,zycrypto.com
19369292,news,3,8,7,3,5,7,0,0,3,2024-03-31T11:19:42Z,zycrypto.com
19357753,news,6,7,2,6,6,5,0,0,0,2024-03-26T17:30:03Z,bitcoinist.com
19354768,news,7,3,4,3,1,5,0,2,5,2024-03-25T19:12:04Z,en.bitcoinsistemi.com
19350898,news,8,6,4,2,4,4,0,0,3,2024-03-23T17:44:16Z,zycrypto.com
19346752,news,7,5,4,8,3,2,0,0,0,2024-03-21T21:23:28Z,zycrypto.com
19340554,news,14,0,9,11,0,3,0,1,0,2024-03-19T21:21:23Z,zycrypto.com
19337058,news,6,5,3,6,2,4,0,1,3,2024-03-18T19:00:16Z,newsbtc.com
19334500,news,6,8,4,5,4,5,0,0,4,2024-03-17T21:47:11Z,zycrypto.com
19333026,news,4,2,0,2,0,1,0,1,0,2024-03-16T17:33:16Z,finbold.com
19331455,news,0,7,1,0,2,6,0,0,2,2024-03-15T18:33:57Z,finbold.com
19325510,news,10,3,6,6,3,5,0,0,0,2024-03-13T20:37:18Z,zycrypto.com
19321096,news,12,4,5,7,5,6,0,1,1,2024-03-12T13:21:50Z,zycrypto.com
19321056,news,4,2,1,4,2,1,0,1,0,2024-03-12T13:13:21Z,cryptopolitan.com
19318417,news,6,1,5,3,1,0,0,0,0,2024-03-11T16:00:24Z,newsbtc.com
19315931,news,3,4,1,3,3,2,0,0,0,2024-03-10T16:30:34Z,bitcoinist.com
19312990,news,14,3,10,6,2,3,0,1,1,2024-03-08T16:59:43Z,zycrypto.com
19309816,news,11,0,8,8,0,0,0,1,0,2024-03-07T16:00:44Z,newsbtc.com
