Crypto_Code,price,date
ETH,2230.8761843957795,2023-12-27
ETH,2376.771249284193,2023-12-28
ETH,2345.2607087446872,2023-12-29
ETH,2299.52620727526,2023-12-30
ETH,2294.3440063451,2023-12-31
ETH,2279.941008568961,2024-01-01
ETH,2350.026286008509,2024-01-02
ETH,2360.7821195890947,2024-01-03
ETH,2211.1708278638766,2024-01-04
ETH,2270.977439333732,2024-01-05
ETH,2267.087035484658,2024-01-06
ETH,2241.5108270042424,2024-01-07
ETH,2220.151561688879,2024-01-08
ETH,2331.6603294356382,2024-01-09
ETH,2341.160624264102,2024-01-10
ETH,2588.769163919145,2024-01-11
ETH,2618.329861896492,2024-01-12
ETH,2524.5016938912413,2024-01-13
ETH,2575.9247354333543,2024-01-14
ETH,2477.9374784307734,2024-01-15
ETH,2515.3199803936955,2024-01-16
ETH,2589.4826316304293,2024-01-17
ETH,2528.3287854519394,2024-01-18
ETH,2467.3289785137254,2024-01-19
ETH,2489.6180646533794,2024-01-20
ETH,2470.2636151036777,2024-01-21
ETH,2454.909543339834,2024-01-22
ETH,2307.5870034987734,2024-01-23
ETH,2241.942776155338,2024-01-24
ETH,2236.7393130974074,2024-01-25
ETH,2219.6145274459245,2024-01-26
ETH,2268.8707315074744,2024-01-27
ETH,2267.907851752534,2024-01-28
ETH,2257.054464645605,2024-01-29
ETH,2314.59472753004,2024-01-30
ETH,2344.001400019654,2024-01-31
ETH,2282.485867015841,2024-02-01
ETH,2301.737299308667,2024-02-02
ETH,2307.4329984830933,2024-02-03
ETH,2294.715924804408,2024-02-04
ETH,2290.084492877089,2024-02-05
ETH,2298.669906674278,2024-02-06
ETH,2372.760878734525,2024-02-07
ETH,2424.073040465209,2024-02-08
ETH,2420.9685614791365,2024-02-09
ETH,2487.8508971967804,2024-02-10
ETH,2499.4921841564314,2024-02-11
ETH,2505.076808453919,2024-02-12
ETH,2657.990407976775,2024-02-13
ETH,2641.5360974921623,2024-02-14
ETH,2780.372974906562,2024-02-15
ETH,2826.821475855177,2024-02-16
ETH,2807.3717030539606,2024-02-17
ETH,2788.561332499608,2024-02-18
ETH,2874.945276040071,2024-02-19
ETH,2943.723084777655,2024-02-20
ETH,3015.438952062055,2024-02-21
ETH,2977.0820166829903,2024-02-22
ETH,2974.131586131992,2024-02-23
ETH,2926.285912906352,2024-02-24
ETH,2988.317384063568,2024-02-25
ETH,3113.4082982877167,2024-02-26
ETH,3173.62994683714,2024-02-27
ETH,3242.0476538223666,2024-02-28
ETH,3380.8039555421246,2024-02-29
ETH,3347.690472423345,2024-03-01
ETH,3431.75199772032,2024-03-02
ETH,3421.89214692414,2024-03-03
ETH,3487.190931866777,2024-03-04
ETH,3634.311067557102,2024-03-05
ETH,3581.5348849085663,2024-03-06
ETH,3822.365818156151,2024-03-07
ETH,3861.900999013773,2024-03-08
ETH,3893.613884196704,2024-03-09
ETH,3916.041187699099,2024-03-10
ETH,3887.473104733291,2024-03-11
ETH,4070.604074987,2024-03-12
ETH,3978.685771378112,2024-03-13
ETH,4007.9121260756656,2024-03-14
ETH,3879.038366642958,2024-03-15
ETH,3738.381184462065,2024-03-16
ETH,3514.222472178163,2024-03-17
ETH,3643.280347379834,2024-03-18
ETH,3525.893640670024,2024-03-19
ETH,3171.293836639821,2024-03-20
ETH,3485.216856327617,2024-03-21
ETH,3286.80444223702,2024-03-22
ETH,3377.2344294884188,2024-03-23
ETH,3441.8986973067736,2024-03-24
ETH,3609.81555415764,2024-03-25
ETH,3602.0608956889614,2024-03-26
ETH,3514.1149037244904,2024-03-27
ETH,3568.595676616999,2024-03-28
ETH,3519.5055509563845,2024-03-29
ETH,3507.1252817951586,2024-03-30
ETH,3629.030477187333,2024-03-31
ETH,3506.774000411811,2024-04-01
ETH,3296.058719613536,2024-04-02
ETH,3319.729729212044,2024-04-03
ETH,3316.3981398561878,2024-04-04
ETH,3320.8810879795383,2024-04-05
ETH,3406.6478238521504,2024-04-06
ETH,3425.415039046155,2024-04-07
ETH,3715.788932610851,2024-04-08
ETH,3516.915871823706,2024-04-09
ETH,3540.6640639254097,2024-04-10
ETH,3507.593930216718,2024-04-11
ETH,3218.8171518916197,2024-04-12
ETH,3043.4810265840783,2024-04-13
ETH,3165.2220750205183,2024-04-14
ETH,3124.8682378584813,2024-04-15
ETH,3093.664101482349,2024-04-16
ETH,3005.6008767337403,2024-04-17
ETH,3070.3599863992117,2024-04-18
ETH,3074.956245165727,2024-04-19
ETH,3038.885477835456,2024-04-20
