price,date
112.32551605046484,2023-12-27
106.97705414292456,2023-12-28
102.25382476175544,2023-12-29
106.25256071597002,2023-12-30
101.98883539812844,2023-12-31
101.33317837845608,2024-01-01
109.44408162860024,2024-01-02
106.66317351273965,2024-01-03
98.618625629318,2024-01-04
104.8407815170403,2024-01-05
99.79527781452578,2024-01-06
93.67595830573332,2024-01-07
88.92454619256625,2024-01-08
97.65874169169724,2024-01-09
98.7515137293353,2024-01-10
102.413481811144,2024-01-11
99.98590880200555,2024-01-12
91.49974928746796,2024-01-13
95.63334726603964,2024-01-14
94.1186359105014,2024-01-15
94.39674016420685,2024-01-16
97.55676426862225,2024-01-17
101.501259573175,2024-01-18
94.28013186654483,2024-01-19
93.32520105608964,2024-01-20
92.58976400255906,2024-01-21
91.1623559089012,2024-01-22
83.43623260957541,2024-01-23
84.09771204633358,2024-01-24
88.97403797468365,2024-01-25
86.98335038241241,2024-01-26
92.36475145633212,2024-01-27
94.07418620571138,2024-01-28
95.96656618849008,2024-01-29
101.41999625662424,2024-01-30
101.49112290376424,2024-01-31
96.93179951000184,2024-02-01
97.79003124090778,2024-02-02
100.46548063117392,2024-02-03
97.76713809513306,2024-02-04
95.472109662347,2024-02-05
95.6680193380418,2024-02-06
96.91999534970712,2024-02-07
100.8620197849941,2024-02-08
102.90366855652807,2024-02-09
107.0340359221691,2024-02-10
108.9914614336289,2024-02-11
107.42381253614128,2024-02-12
112.03681818642012,2024-02-13
112.5991116485891,2024-02-14
116.97610655690056,2024-02-15
113.5993942511846,2024-02-16
110.50155056850862,2024-02-17
108.92851023151393,2024-02-18
112.21541634982898,2024-02-19
111.27808859030418,2024-02-20
108.56412084328196,2024-02-21
105.34263381767492,2024-02-22
102.0417796526056,2024-02-23
100.09194937035414,2024-02-24
104.18872590266118,2024-02-25
103.4386239643384,2024-02-26
109.84509740259054,2024-02-27
108.17696263039224,2024-02-28
117.4302841375136,2024-02-29
125.6818167628113,2024-03-01
130.0470586239426,2024-03-02
129.8816532496919,2024-03-03
130.30611971907615,2024-03-04
133.32371555063142,2024-03-05
126.39112339694104,2024-03-06
130.66706419099268,2024-03-07
144.10503256536765,2024-03-08
145.19146101509426,2024-03-09
144.81714849291387,2024-03-10
144.25771555596154,2024-03-11
148.79327935268395,2024-03-12
150.72986927133826,2024-03-13
163.62579653208232,2024-03-14
176.2229997396476,2024-03-15
183.9242834890865,2024-03-16
180.8017384218832,2024-03-17
202.51891185720268,2024-03-18
196.3452934243912,2024-03-19
169.59755629640884,2024-03-20
178.58998638452803,2024-03-21
170.5983948654456,2024-03-22
174.8294796223124,2024-03-23
184.9753370265799,2024-03-24
190.20810073098664,2024-03-25
191.86323892983788,2024-03-26
186.2909551876995,2024-03-27
188.72421002597451,2024-03-28
192.3821697600841,2024-03-29
196.05277136201383,2024-03-30
200.35637675630767,2024-03-31
193.00121522966364,2024-04-01
184.212957790232,2024-04-02
186.0325177571356,2024-04-03
182.66347641279563,2024-04-04
175.23313379951307,2024-04-05
184.97533702657987,2024-03-24
190.20810073098664,2024-03-25
191.86323892983788,2024-03-26
186.2909551876995,2024-03-27
188.72421002597454,2024-03-28
192.3821697600841,2024-03-29
196.05277136201383,2024-03-30
200.35637675630767,2024-03-31
193.00121522966364,2024-04-01
184.212957790232,2024-04-02
186.03251775713557,2024-04-03
182.66347641279563,2024-04-04
175.05337912981565,2024-04-05
178.51519724232352,2024-04-06
178.4082335203283,2024-04-07
183.429734638774,2024-04-08
