ID_News,Crypto_Code,Kind,Title,Positive_Votes,Negative_Votes,Important_Votes,Liked_Votes,Disliked_Votes,LOL_Votes,Toxic_Votes,Saved,Comments,published_at,Domain
19495843,BTC,news,Bitcoin Price Prediction: BTC Above $65K Amid $100M Andrew Tate Investment and Supply Lows,5,1,3,3,1,0,0,1,0,2024-05-17 00:13:22,cryptonews.com
19487114,BTC,news,Legendary Trader Peter Brandt Says XRP Looks Headed to Zero Against Bitcoin (BTC) – Here’s Why,5,4,5,6,3,8,0,0,3,2024-05-14 14:30:21,dailyhodl.com
19485867,BTC,news,Coinbase Outage Sparks User Frustration Amid Bitcoin Price Surge,8,0,5,8,0,0,0,2,0,2024-05-14 08:59:04,coinpaprika.com
19482426,BTC,news,Major U.S. Banks Disclose Growing Bitcoin Investments Through ETFs,15,0,12,13,0,1,0,7,0,2024-05-13 09:34:08,coinpaprika.com
19482269,BTC,news,El Salvador Takes Bold Step in Cryptocurrency Transparency,11,0,10,11,0,1,0,8,2,2024-05-13 08:47:05,coinpaprika.com
19481285,BTC,news,Tron DAO Shifts $65 Million in Bitcoin to Unknown Wallets,7,0,7,7,0,0,0,6,0,2024-05-12 19:59:45,coinpaprika.com
19478103,BTC,news,"BREAKING: JPMorgan, Largest Bank in the US, Announces It Owns Bitcoin Spot ETF Holdings",21,1,15,14,0,3,0,0,0,2024-05-10 19:48:04,en.bitcoinsistemi.com
19477701,BTC,news,"Wells Fargo holds Bitcoin spot ETF investments, SEC filings show",7,0,3,4,0,0,0,0,0,2024-05-10 16:33:34,cryptobriefing.com
19476700,BTC,news,"Joe Biden Is Trying To ‘Kill Crypto’ — Serious Warning Could Spell Chaos For Bitcoin, Ether, ADA, XRP",4,4,9,4,1,7,0,4,5,2024-05-10 11:20:43,zycrypto.com
19469541,BTC,news,Argentina Launches Innovative Bitcoin Mining Project Using Stranded Gas,11,0,10,11,0,0,0,7,0,2024-05-08 09:13:14,coinpaprika.com
19465261,BTC,news,Cardano Founder Considers Partnership With Bitcoin Cash – What Is It About?,12,6,10,10,2,5,0,1,2,2024-05-07 01:00:52,bitcoinist.com
19461375,BTC,news,Nouriel Roubini Criticizes Bitcoin's Security and Decentralization Claims,13,1,10,11,1,3,0,5,1,2024-05-05 13:47:03,coinpaprika.com
19461342,BTC,news,Grayscale Bitcoin Trust Records First Inflows After $17.5 Billion in Outflows,14,0,13,15,0,2,0,5,0,2024-05-05 13:29:55,coinpaprika.com
19458682,BTC,news,"“US government can’t go bankrupt because we can print our own money,” says Biden Administration",3,1,9,3,2,19,0,2,9,2024-05-03 20:11:42,cryptobriefing.com
19458456,BTC,news,"Solana to join Bitcoin and Ethereum as top crypto assets, $1.6 trillion asset manager predicts",8,3,2,5,2,2,0,1,2,2024-05-03 18:21:55,cryptobriefing.com
19450349,BTC,news,Cardano Whale Signal Historically Correlated With Price Reversals Flashes Green: Santiment,11,6,5,10,6,5,0,1,1,2024-05-01 09:15:58,dailyhodl.com
19450201,BTC,news,"Bitcoin Sinks Below $58K, Crypto Market Drops 9% in Run-Up to Fed Decision",5,9,7,4,2,0,0,0,1,2024-05-01 08:22:29,coindesk.com
19447957,BTC,news,Cardano price prediction after whale activity explodes,6,3,3,5,4,3,0,2,0,2024-04-30 13:22:32,finbold.com
19447058,BTC,news,US Bitcoin ETFs Face Third Week of Outflows Amid Market Downturn,10,1,10,11,0,1,0,6,0,2024-04-30 09:15:37,coinpaprika.com
19445206,BTC,news,The New Hong Kong-based Spot Bitcoin and Spot Ethereum ETFs Being Launched on April 30: All You Need to Know,14,0,10,10,0,0,0,3,0,2024-04-29 16:22:58,cryptoglobe.com
19444562,BTC,news,"Grayscale’s outflows slow as investor interest in altcoins like Solana, Polkadot rises",6,3,4,4,3,4,0,2,0,2024-04-29 13:17:01,cryptoslate.com
19443707,BTC,news,Spot Bitcoin ETFs to Debut on Australia's Main Stock Exchange by 2024,8,0,8,8,0,0,0,7,0,2024-04-29 08:51:52,coinpaprika.com
