ID_News,Crypto_Code,Kind,Title,Positive_Votes,Negative_Votes,Important_Votes,Liked_Votes,Disliked_Votes,LOL_Votes,Toxic_Votes,Saved,Comments,published_at,Domain
19495678,SOL,news,"Solana Trader Turns $1,470 into $200,000 in Five-Minute Crypto Windfall",2,5,1,2,4,3,0,1,1,2024-05-16 22:15:00,cryptoglobe.com
19494613,SOL,news,Solana Surpasses Ethereum By Revenue After Parabolic Fee Spike,2,4,1,2,4,3,0,1,0,2024-05-16 15:44:00,thedefiant.io
19486066,SOL,news,CoinGate integrates Solana within its payment gateway,13,3,8,10,3,1,0,6,6,2024-05-14 09:54:09,finbold.com
19484571,SOL,news,"Hard to Believe Statement from Fund Manager: “Solana Price Could Rise to $400, Here’s Why”",5,3,1,2,3,1,0,2,0,2024-05-13 21:19:06,en.bitcoinsistemi.com
19483867,SOL,news,"GameStop Tribute Meme Coin on Solana Surges 1,900% as GME Fever Returns",4,4,2,6,3,2,0,1,3,2024-05-13 16:16:19,decrypt.co
19471542,SOL,news,Solana Breakout: Crypto Analysts Confirm SOL Is Ready To Cross $200,3,3,3,3,2,3,0,1,0,2024-05-08 19:00:18,bitcoinist.com
19459574,SOL,news,"New Solana Memecoin Homo Pepe (HOMPEPE) to Explode 8,000% Within 48 Hours, Take On Shiba Inu and Bonk",4,7,0,1,10,5,0,1,4,2024-05-04 10:42:17,cryptointelligence.co.uk
19458456,SOL,news,"Solana to join Bitcoin and Ethereum as top crypto assets, $1.6 trillion asset manager predicts",8,3,2,5,2,2,0,1,2,2024-05-03 18:21:55,cryptobriefing.com
19455129,SOL,news,What Is the Price of Solana (SOL) up Today?,4,2,2,3,2,0,0,1,2,2024-05-02 16:56:39,cryptoglobe.com
19454870,SOL,news,Solana (SOL) Base Cryptocurrency Project Announces Partnership with Google Cloud!,3,3,2,2,3,1,0,2,1,2024-05-02 15:47:05,en.bitcoinsistemi.com
19444562,SOL,news,"Grayscale’s outflows slow as investor interest in altcoins like Solana, Polkadot rises",6,3,4,4,3,4,0,2,0,2024-04-29 13:17:01,cryptoslate.com
19442593,SOL,news,"Solana trader turns $49,000 into $2 million in 5 hours",3,4,1,3,4,3,0,2,1,2024-04-28 14:40:35,finbold.com
19438470,SOL,news,Institutional Investors Flock to Solana (SOL) Ahead of Anticipated Bull Run,1,6,1,1,7,4,0,2,10,2024-04-26 09:25:40,coinspeaker.com
19438375,SOL,news,Solana Records ‘Dramatic Increase’ In Institutional Demand: Report,1,7,0,1,5,4,0,1,0,2024-04-26 08:50:00,bitcoinist.com
19434128,SOL,news,Smart Pepe Launches on Solana and Prepares to Emulate Shiba Inu and Dogecoin,2,5,1,1,4,2,0,1,1,2024-04-24 23:03:08,cryptointelligence.co.uk
19433122,SOL,news,Will Solana’s new patch revitalize its market value? insights into the May 27 update,2,5,0,1,4,2,0,1,0,2024-04-24 15:57:52,cryptopolitan.com
19432504,SOL,news,Solana Market Cap Skyrockets $11 Billion As Price Jumps 17% – Details,2,4,0,1,4,1,0,1,0,2024-04-24 13:00:19,newsbtc.com
19431794,SOL,news,"Solana Block Time Returns to 2 Sec, Is Congestion Nightmare Over?",4,6,0,3,6,4,0,1,2,2024-04-24 09:09:46,coinspeaker.com
19431655,SOL,news,New Solana Network Update Scheduled for Late May,7,6,2,5,4,4,0,2,0,2024-04-24 08:05:11,beincrypto.com
19430909,SOL,news,Solana DEX Aggregator Jupiter Acquires Ultimate Wallet for Mobile Expansion,4,4,3,3,3,2,0,1,0,2024-04-24 00:06:25,cryptonews.com
19429600,SOL,news,"Spectacular 350% Explosion Predicted For Shiba Inu, XRP, Solana, Cardano, Avalanche, DOT",10,2,5,10,3,5,0,1,0,2024-04-23 14:41:30,zycrypto.com
19426610,SOL,news,Bonk Price Explosion: Too Late to Join? Another Solana Meme Coin Gains Viral Momentum,1,5,0,0,4,3,0,0,0,2024-04-22 15:42:52,cryptonews.com
19425594,SOL,news,Solana (SOL) Breaks Fundamental $150 Resistance Level: What's Next?,5,3,1,2,4,3,0,2,1,2024-04-22 10:47:00,u.today
19424022,SOL,news,"Solana, Ethereum Meme Coin Prices Blast Off as Bitcoin Stays Steady After Halving",5,2,1,2,2,2,0,1,0,2024-04-21 14:40:28,decrypt.co
19423318,SOL,news,"Solana Memecoin Scientist Doge (SCDOGE) Will Skyrocket 5,800% Within 72 Hours, But Can it Challenge SHIB and DOGE?",3,7,0,1,11,6,0,1,2,2024-04-21 00:20:02,cryptointelligence.co.uk
19423028,SOL,news,Solana – Long or short? Here’s the position SOL traders are taking,5,5,2,4,4,4,0,1,0,2024-04-20 18:00:34,ambcrypto.com
19420872,SOL,news,Solana-Based Meme Coins Bonk and Dogwifhat Listed by Major Exchange in UK,3,3,1,1,2,1,0,0,0,2024-04-19 15:00:00,beincrypto.com
19420798,SOL,news,Solana Rises More Than 5% In 24 hours,4,9,2,3,7,3,0,1,0,2024-04-19 15:49:00,u.today
19420693,SOL,news,Solana (SOL) Hits $130: Is a Price Upswing on the Horizon?,3,3,1,1,2,1,0,0,0,2024-04-19 15:00:12,feeds2.benzinga.com
19420205,SOL,news,"Solana Meme Coins See $8.32B Top Up: Will BOME, WIF Soar 100X Next?",1,7,0,3,5,3,0,1,0,2024-04-19 13:00:00,coinedition.com
19419646,SOL,news,Solana Blockchain Has an Abundance of Spam Transactions,1,5,1,0,3,3,0,1,4,2024-04-19 10:00:00,coinedition.com
