ID_News,Crypto_Code,Kind,Title,Positive_Votes,Negative_Votes,Important_Votes,Liked_Votes,Disliked_Votes,LOL_Votes,Toxic_Votes,Saved,Comments,published_at,Domain
19498217,USDT,news,Kraken may delist USDT in EU to comply with MiCA,3,3,4,2,2,0,0,0,1,2024-05-17 16:21:30,cryptobriefing.com
19476289,USDT,news,Deutsche Bank Highlights Risks in Tether's Stablecoin Operations,11,0,11,11,0,0,0,7,1,2024-05-10 09:08:02,coinpaprika.com
19471542,USDT,news,Solana Breakout: Crypto Analysts Confirm SOL Is Ready To Cross $200,3,3,3,3,2,3,0,1,0,2024-05-08 19:00:18,bitcoinist.com
19437978,USDT,news,Tether's USDT Hits Yearly High as Traders Hold Steady Amid Market Shifts,9,0,7,9,0,0,0,5,0,2024-04-26 06:28:16,coinpaprika.com
19422191,USDT,news,BREAKING: Bitcoin Halving 2024 Is Complete! Here’s What To Expect,10,0,5,9,0,0,0,2,0,2024-04-20 07:05:47,bitcoinist.com
19421980,USDT,news,Polkadot Unveils Major Upgrade Plan: Relay Chain Replacement And 10M DOT Prize Incentive,7,3,0,5,2,3,0,1,0,2024-04-20 04:00:04,newsbtc.com
19420872,USDT,news,Solana (SOL) Hits $130: Is a Price Upswing on the Horizon?,3,3,1,1,2,1,0,0,0,2024-04-19 15:00:00,beincrypto.com
19408979,USDT,news,Is Cardano (ADA) Preparing for a Recovery After a 25% Price Correction?,6,2,1,5,2,2,0,0,0,2024-04-15 22:00:00,beincrypto.com
19399956,USDT,news,Analyst Predicts Solana (SOL) Bounce Amid Network Congestion Problems,4,2,1,1,1,3,0,0,2,2024-04-11 20:00:29,newsbtc.com
19385914,USDT,news,Ripple’s XRP Primed For Massive Price Shakeup as Expert Says ‘Non-Security’ Status Could Be in Jeopardy,5,6,5,2,5,5,0,0,0,2024-04-06 17:04:29,zycrypto.com
19382797,USDT,news,Dogwifhat (WIF) price forecast amid pullback as Algotech’s ALGT token presale nears $4M,5,1,1,3,1,1,0,1,0,2024-04-05 09:38:48,coinjournal.net
19380284,USDT,news,XRP Rises After Ripple Announcement!,3,4,1,2,5,4,0,0,4,2024-04-04 13:04:04,en.bitcoinsistemi.com
